SentenceId	Phrase	Sentiment
7068	Overall , it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .	2
4991	A poignant comedy that offers food for thought .	4
7318	It 's a Frankenstein-monster of a film that does n't know what it wants to be .	1
1927	The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .	4
8426	It 's pretty linear and only makeup-deep , but Bogdanovich ties it together with efficiency and an affection for the period .	3
5754	First and foremost ... the reason to go see `` Blue Crush '' is the phenomenal , water-born cinematography by David Hennings .	4
973	An often unfunny romp .	2
7702	Well-made but mush-hearted .	3
5227	Rodriguez does a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue .	3
5723	If you 're looking for an intelligent movie in which you can release your pent up anger , ENOUGH is just the ticket you need .	3
66	Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .	0
9	But it does n't leave you with much .	1
7464	Although Estela Bravo 's documentary is cloyingly hagiographic in its portrait of Cuban leader Fidel Castro , it 's still a guilty pleasure to watch .	3
5677	... a triumph of emotionally and narratively complex filmmaking .	4
1727	Ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .	3
4593	About the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time .	0
2104	It 's a visual Rorschach test and I must have failed .	0
4230	A cross between Blow and Boyz N The Hood , this movie strives to be more , but does n't quite get there .	1
6490	The story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .	1
2068	LaBute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .	2
2633	A genuine mind-bender .	3
5404	One of the most incoherent features in recent memory .	0
2679	Miller has crafted an intriguing story of maternal instincts and misguided acts of affection .	3
1380	It 's a spectacular performance - ahem , we hope it 's only acting .	3
3036	Even more baffling is that it 's funny .	2
4018	Critics need a good laugh , too , and this too-extreme-for-TV rendition of the notorious MTV show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .	2
7006	The trashy teen-sleaze equivalent of Showgirls .	1
5129	A collage	2
